hash,cls,source,name,icon,score,verts,parts,ntex,height
0x28513,npc,geometry,,,6.5,501,4,3,74.1
0x2D83F,npc,geometry,,,6.5,4705,4,11,576.5
0x2D884,npc,geometry,,,6.5,2503,2,9,1113.2
0x45E89,npc,geometry,,,6.5,2503,2,9,1113.2
0x549C5,npc,geometry,,,6.5,2194,3,12,789.4
0x54AEC,npc,geometry,,,6.5,2194,3,12,789.4
0x144AA,npc,geometry,,,6.5,1233,2,5,1598.8
0x1473D,npc,geometry,,,6.5,2460,2,5,1598.8
0x197A9,npc,geometry,,,6.5,1927,5,10,1802.5
0x1B87A,npc,geometry,,,6.5,501,3,5,1326.8
0x1BB01,npc,geometry,,,6.5,733,2,5,2422.6
0x1C4F1,npc,geometry,,,6.5,794,5,8,1402.5
0x1C68E,npc,geometry,,,6.5,825,3,5,200.5
0x1B6D3,npc,geometry,,,6.5,1264,4,7,2968.5
0x1F402,npc,geometry,,,6.5,773,4,8,6022.5
0x1FAD9,npc,geometry,,,6.5,1214,2,5,1111.9
0x1FB39,npc,geometry,,,6.5,2248,29,4,445.7
0x1FED4,npc,geometry,,,6.5,733,2,5,2422.6
0x215A8,npc,geometry,,,6.5,501,3,5,1326.8
0x216F6,npc,geometry,,,6.5,571,3,5,1873.1
0x214F6,npc,geometry,,,6.5,1264,4,7,2968.5
0x21731,npc,geometry,,,6.5,733,2,5,2422.6
0x21985,npc,geometry,,,6.5,632,2,5,2968.5
0x21AA2,npc,geometry,,,6.5,632,2,4,836.5
0x21AAD,npc,geometry,,,6.5,733,2,5,2422.6
0x21B76,npc,geometry,,,6.5,508,2,3,2992.8
0x21B87,npc,geometry,,,6.5,839,3,6,1387.0
0x21F33,npc,geometry,,,6.5,934,3,4,115.3
0x21F4B,npc,geometry,,,6.5,585,3,4,115.3
0x21EC1,npc,geometry,,,6.5,656,2,3,693.3
0x21FB9,npc,geometry,,,6.5,5189,6,12,10427.6
0x22296,npc,geometry,,,6.5,10241,12,18,20729.4
0x222B5,npc,geometry,,,6.5,1233,2,5,1598.8
0x222B6,npc,geometry,,,6.5,2460,2,5,1598.8
0x22A12,npc,geometry,,,6.5,1097,3,4,1066.7
0x22A4B,npc,geometry,,,6.5,985,3,4,948.4
0x25B01,npc,geometry,,,6.5,713,7,10,4919.0
0x25B20,npc,geometry,,,6.5,713,7,10,9820.9
0x2638E,npc,geometry,,,6.5,938,2,4,8568.0
0x26399,npc,geometry,,,6.5,591,3,5,659.4
0x2639B,npc,geometry,,,6.5,827,5,9,4412.2
0x263D6,npc,geometry,,,6.5,907,8,12,4554.2
0x26432,npc,geometry,,,6.5,646,2,6,4776.2
0x26A80,npc,geometry,,,6.5,541,2,3,85.8
0x26604,npc,geometry,,,6.5,907,8,12,4357.3
0x27B82,npc,geometry,,,6.5,630,35,5,1888.3
0x27CD1,npc,geometry,,,6.5,630,35,5,1888.3
0x28556,npc,geometry,,,6.5,1927,5,10,1802.5
0x2856C,npc,geometry,,,6.5,794,5,8,1402.5
0x2893E,npc,geometry,,,6.5,734,5,9,2910.5
0x28BCB,npc,geometry,,,6.5,823,5,7,2180.5
0x28BEF,npc,geometry,,,6.5,766,2,4,2180.5
0x28BFF,npc,geometry,,,6.5,2495,11,15,4137.7
0x28D73,npc,geometry,,,6.5,547,2,5,1125.8
0x28DC1,npc,geometry,,,6.5,535,4,8,1768.7
0x29694,npc,geometry,,,6.5,825,3,5,200.5
0x28E9C,npc,geometry,,,6.5,3780,7,14,5834.1
0x28E9D,npc,geometry,,,6.5,3780,7,14,5834.1
0x28F26,npc,geometry,,,6.5,603,3,13,218.3
0x2CEA3,npc,geometry,,,6.5,995,2,5,1066.7
0x2CF71,npc,geometry,,,6.5,649,3,6,970.3
0x2D817,npc,geometry,,,6.5,591,3,5,659.4
0x2D86B,npc,geometry,,,6.5,938,2,4,8568.0
0x2D870,npc,geometry,,,6.5,827,5,9,4412.2
