file,name,wiki,categories
5_Tarnished_Platinum_Coins.png,5 Tarnished Platinum Coins,https://wiki.guildwars.com/wiki/5_Tarnished_Platinum_Coins,ArenaNet icons|Quest item icons
Abnormal_Seed.png,Abnormal Seed,https://wiki.guildwars.com/wiki/Abnormal_Seed,ArenaNet item icons|Trophy icons
Abominable_Tonic.png,Abominable Tonic,https://wiki.guildwars.com/wiki/Abominable_Tonic,ArenaNet item icons|Regular tonic icons
Abyssal_Tonic.png,Abyssal Tonic,https://wiki.guildwars.com/wiki/Abyssal_Tonic,ArenaNet item icons|Regular tonic icons
Accursed_Icon_(diamond).png,Accursed Icon (diamond),https://wiki.guildwars.com/wiki/Accursed_Icon_%28diamond%29,ArenaNet weapon icons|Focus icons
Accursed_Icon_(gorgon).png,Accursed Icon (gorgon),https://wiki.guildwars.com/wiki/Accursed_Icon_%28gorgon%29,ArenaNet weapon icons|Focus icons
Accursed_Rod.png,Accursed Rod,https://wiki.guildwars.com/wiki/PvP_Accursed_Rod,ArenaNet weapon icons|Wand icons
Accursed_Staff.png,Accursed Staff,https://wiki.guildwars.com/wiki/Accursed_Staff,ArenaNet weapon icons|Staff icons
Achor's_Daggers.png,Achor's Daggers,https://wiki.guildwars.com/wiki/Achor%27s_Daggers,ArenaNet weapon icons|Unique dagger icons
Acolyte_Jin_Boots.png,Acolyte Jin Boots,,ArenaNet armor icons|Hero armor icons
Acolyte_Jin_Gloves.png,Acolyte Jin Gloves,,ArenaNet armor icons|Hero armor icons
Acolyte_Jin_Leggings.png,Acolyte Jin Leggings,,ArenaNet armor icons|Hero armor icons
Acolyte_Jin_Mask.png,Acolyte Jin Mask,,ArenaNet armor icons|Hero armor icons
Acolyte_Jin_Vest.png,Acolyte Jin Vest,,ArenaNet armor icons|Hero armor icons
Acolyte_Sousuke_Eye.png,Acolyte Sousuke Eye,,ArenaNet armor icons|Hero armor icons
Acolyte_Sousuke_Gloves.png,Acolyte Sousuke Gloves,,ArenaNet armor icons|Hero armor icons
Acolyte_Sousuke_Leggings.png,Acolyte Sousuke Leggings,,ArenaNet armor icons|Hero armor icons
Acolyte_Sousuke_Robes.png,Acolyte Sousuke Robes,,ArenaNet armor icons|Hero armor icons
Acolyte_Sousuke_Shoes.png,Acolyte Sousuke Shoes,,ArenaNet armor icons|Hero armor icons
Adamantine_Falchion.png,Adamantine Falchion,https://wiki.guildwars.com/wiki/Adamantine_Falchion,ArenaNet weapon icons|Sword icons
Adamantine_Shield.png,Adamantine Shield,https://wiki.guildwars.com/wiki/Adamantine_Shield,ArenaNet weapon icons|Shield icons
Aegis_(shield).png,Aegis (shield),https://wiki.guildwars.com/wiki/Aegis_%28shield%29,ArenaNet weapon icons|Shield icons
Aegis_of_Aaaaarrrrrrggghhh.png,Aegis of Aaaaarrrrrrggghhh,https://wiki.guildwars.com/wiki/Aegis_of_Aaaaarrrrrrggghhh,ArenaNet weapon icons|Unique shield icons
Aegis_of_Terror.png,Aegis of Terror,https://wiki.guildwars.com/wiki/Aegis_of_Terror,ArenaNet weapon icons|Unique shield icons
Aegis_of_the_Condemned.png,Aegis of the Condemned,https://wiki.guildwars.com/wiki/Aegis_of_the_Condemned,ArenaNet weapon icons|Unique shield icons
Aeromancer_Insignia.png,Aeromancer Insignia,https://wiki.guildwars.com/wiki/Aeromancer_Insignia,ArenaNet armor icons|Insignia icons
Aerowind_Blade.png,Aerowind Blade,https://wiki.guildwars.com/wiki/Aerowind_Blade,ArenaNet weapon icons|Sword icons
Aged_Dwarven_Ale.png,Aged Dwarven Ale,https://wiki.guildwars.com/wiki/Aged_Dwarven_Ale,Alcohol icons|ArenaNet item icons
Aged_Hunter's_Ale.png,Aged Hunter's Ale,https://wiki.guildwars.com/wiki/Aged_Hunter%27s_Ale,Alcohol icons|ArenaNet item icons
Ahvha's_Longbow.png,Ahvha's Longbow,https://wiki.guildwars.com/wiki/Ahvha%27s_Longbow,ArenaNet weapon icons|Unique bow icons
Air_Prism.png,Air Prism,https://wiki.guildwars.com/wiki/Air_Prism,ArenaNet weapon icons|Focus icons
Air_Staff_(lightning_spire).png,Air Staff (lightning spire),https://wiki.guildwars.com/wiki/Air_Staff_%28lightning_spire%29,ArenaNet weapon icons|Staff icons
Air_Staff_(metal).png,Air Staff (metal),https://wiki.guildwars.com/wiki/Air_Staff_%28metal%29,ArenaNet weapon icons|Staff icons
Air_Staff_(normal).png,Air Staff (normal),https://wiki.guildwars.com/wiki/Air_Staff_%28normal%29,ArenaNet weapon icons|Staff icons
Air_Wand.png,Air Wand,https://wiki.guildwars.com/wiki/Air_Wand,ArenaNet weapon icons|Wand icons
Ajamduk's_Staff.png,Ajamduk's Staff,https://wiki.guildwars.com/wiki/Ajamduk%27s_Staff,ArenaNet weapon icons|Unique staff icons
Alari's_Double_Blades.png,Alari's Double Blades,https://wiki.guildwars.com/wiki/Alari%27s_Double_Blades,ArenaNet weapon icons|Unique dagger icons
Alem's_Remedy.png,Alem's Remedy,https://wiki.guildwars.com/wiki/Alem%27s_Remedy,ArenaNet weapon icons|Unique staff icons
